Champion,Cost,Role,Damage Type,Origin 1,Origin 2,Class 1,Class 2,Range,Summary,Skill Description,Step,Skill Type,Trigger (When),Condition (Only if),Action Source,Legacy action,Aim Target,Offset,AOE (hex),Skill Range,Count,Volley Shape,Fire Timing,Cast (s),Effect Recipient,Effect Category,Effect Detail,Amount,Scaling Type,Scaling,Effect Cadence,Effect Duration (s)
,,,,,,,,,,,2,Active,After Step 1,—,Self,Circle AOE,Self,centred,Circle 2 hex,1,1,—,—,—,Enemies in area,Attack,Damage,140/210/800% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Stun,—,—,—,Once,1.5/2/8
Lux,4 Gold,Mage,AP,Demacia,,Sorcerer,,4,Laser Spell Spammer,"Laser the current target for 3s, dealing damage over time and shredding MR over time.",1,Active,On Cast,—,Self,Current Target Laser,Current,—,default,4,1,—,—,3,Same to Aim Target,Attack,Damage,735/1100/2750% AP,—,—,Every 0.5s,3
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Debuff,MR,15/15/40 /s,—,—,Every 0.5s,3
Cassiopeia,1 Gold,Mage,AP,Noxus,Shurima,Invoker,,4,Single-Target Spell Spammer,Damage the current target and Wound it; the damage is amplified if the target is already Wounded.,1,Active,On Cast,If Target Wounded,Self,Homing Projectile,Current,default,default,4,1,—,—,—,Same to Aim Target,Attack,Damage,160/240/360% AP,Conditional Bonus,+30% if Wounded,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Wound,—,—,—,Once,5
Samira,1 Gold,Marksman,AD,Noxus,,Challenger,,4,Single-Target Shred Spammer,Shoot the current target for damage and permanently shred a flat amount of DEF.,1,Active,On Cast,—,Self,First hit Projectile,Current,default,default,4,1,—,—,—,Same to Aim Target,Attack,Damage,190/190/200% AD,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Debuff,DEF,10/15/20,Derived,+AP,Once,Permanent
Kled,2 Gold,Tank,AD,Noxus,Yordle,Slayer,,1,AA Juggernaut,"Passive: start with +30% bonus HP; when it expires, gain a permanent stacking Attack Speed boost. Active: gain new bonus HP.",0.1,Passive,Game Start,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Bonus HP,30% max HP,—,—,Once,—
,,,,,,,,,,,0.2,Passive,On Bonus-HP Expire,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Attack Speed,65/70/75% AP,Stacking,stacking,Once,Permanent
,,,,,,,,,,,1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Bonus HP,30% max HP,—,—,Once,—
Swain,2 Gold,Tank,AP,Noxus,,Strategist,Sorcerer,2,Transforming AOE Tank,"Transform to gain bonus max HP, then deal circular AOE magic damage over time. If already transformed, gain more HP and deal a burst.",1,Active,On Cast,If not Transformed,Self,Cast,Self,—,—,2,—,—,—,—,Same to Aim Target,Buff,Bonus HP,325/375/550% AP,—,—,Once,—
,,,,,,,,,,,,,,If Already Transformed,,Circle AOE,,centred,unknown,,1,,,,Same to Aim Target,Buff,Bonus HP,225/260/385% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Attack,Damage,100/160/300% AP,Burst,burst,Once,—
,,,,,,,,,,,0.1,Passive,When Transformed,—,Self,Zone AOE,Self,centred,unknown,2,1,—,—,—,Enemies in area,Attack,Damage,25/40/60% AP,Per Tick,per second,Every 0.5s,—
Darius,3 Gold,Fighter,AD,Noxus,,Juggernaut,,1,Executing Melee Carry,"Strike the current target for heavy physical damage; if it kills the target, immediately recast on a new target.",1,Active,On Cast,—,Self,Cast,Current,—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,350% AD + 55/80/110% AP,—,—,Once,—
,,,,,,,,,,,2,Active,On Kill,—,Self,Cast,Current (new),—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,90/95/100% of cast,—,—,Once,—
Katarina,3 Gold,Assassin,AP,Noxus,,Rogue,,1,AOE Wound Assassin,"Throw three daggers at nearby enemies, blink to each, and deal circular AOE magic damage plus Wound to adjacent enemies.",1,Active,On Cast,—,Self,Cast,Clustered,—,—,1,—,—,—,—,Self,Movement,(setup),—,—,—,—,—
,,,,,,,,,,,2,Active,After Step 1,—,Self,Move,Clustered,—,—,1,—,—,—,—,Self,Movement,(reposition),—,—,—,—,—
,,,,,,,,,,,3,Active,After Step 2,—,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,145/220/350% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Wound,—,—,—,Once,6
Sion,5 Gold,Tank,AD,Noxus,,Bruiser,,1,Charging Stun Tank,"Charge into the largest enemy cluster, dealing physical damage and Stunning enemies in the path. Passive: revive once on death with decaying HP, immune to CC and gaining Attack Speed.",1,Active,On Cast,—,Self,Charge,Clustered,default,default,1,—,—,—,—,Enemies in path,Attack,Damage,225/235/500% AD,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in path,Status,Stun,—,—,—,Once,1.25/1.5/15
,,,,,,,,,,,0.1,Passive,On Death,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Bonus HP,100% HP,Decay,20/13/0% per second,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Buff,Attack Speed,1.5/1.5/10% AP,—,—,Once,—
Irelia,1 Gold,Tank,AP,Ionia,,Bastion,,1,Decaying Shield Tank,"Ionia Bonus: +25 Armor and Magic Resist. Active: enter a defensive stance and gain a Shield that rapidly decays over 3s. When it expires, deal circular AOE magic damage plus 30% of the damage absorbed to enemies around and in front of her.",0.1,Passive,Game Start,If Ionia Active,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Armor,25,—,—,Once,Permanent
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Buff,MR,25,—,—,Once,Permanent
,,,,,,,,,,,1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Shield,350/400/450% AP,Decay,decays over its duration,Once,3
,,,,,,,,,,,2,Active,On Shield Expire,—,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,70/100/150% AP,Derived,+30% of damage absorbed,Once,—
,,,,,,,,,,,,,,,,Laser Shot,Current,default,unknown,,,,,,Enemies in path,Attack,Damage,70/100/150% AP,Derived,+30% of damage absorbed,Once,—
Jhin,1 Gold,Marksman,AD,Ionia,,Deadeye,,5,Falloff Line Carry,Ionia Bonus: +25% Attack Damage. Active: take aim at the current target and fire a shot through enemies in a line; each enemy hit reduces the damage by 56%.,0.1,Passive,Game Start,If Ionia Active,Self,Cast,Self,—,—,5,—,—,—,—,Same to Aim Target,Buff,AD,25%,—,—,Once,Permanent
,,,,,,,,,,,1,Active,On Cast,—,Self,Pierce Projectile,Current,default,Box 1x2,5,1,—,—,—,Enemies in path,Attack,Damage,744% AD & AP,Falloff per hit,−56% per hit,Once,—
Sett,2 Gold,Tank,AP,Ionia,,Juggernaut,,1,Grab-and-Slam Stun Tank,"Ionia Bonus: +180 max Health. Active: grab an enemy from either side and slam them together, dealing magic damage and Stunning them. If only one enemy is grabbed, the damage and Stun duration are increased by 50%.",0.1,Passive,Game Start,If Ionia Active,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Bonus HP,180,—,—,Once,Permanent
,,,,,,,,,,,1,Active,On Cast,—,Self,Grab & Slam,Adjacent (both sides),default,Box 3x1,1,1,—,—,—,Grabbed enemies,Attack,Damage,180/270/420% AP,Conditional Bonus,+50% if only 1 grabbed,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Grabbed enemies,Status,Stun,—,Conditional Bonus,+50% if only 1 grabbed,Once,1.25/1.5/2
Zed,2 Gold,Assassin,AD,Ionia,,Rogue,Slayer,1,Shadow Twin Assassin,Ionia Bonus: +15% Critical Strike Chance and Critical Strike Damage. Active: create a shadow at the furthest enemy within 2 hexes; Zed and his shadow each slash adjacent enemies for physical damage.,0.1,Passive,Game Start,If Ionia Active,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Crit Chance,15%,—,—,Once,Permanent
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Buff,Crit Damage,15%,—,—,Once,Permanent
,,,,,,,,,,,1,Active,On Cast,—,Self,Static Summon,Farthest (within 2 hex),—,—,1,1,—,—,—,—,Summon,(summon),—,—,—,—,—
,,,,,,,,,,,2,Active,After Step 1,—,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,140/140/150% AD + 25/40/50% AP,—,—,Once,—
,,,,,,,,,,,,,,,Summon,,Summon,,,,,,,,Enemies in area,Attack,Damage,140/140/150% AD + 25/40/50% AP,—,—,Once,—
Karma,3 Gold,Mage,AP,Ionia,,Invoker,,4,Burst Spell Spammer,"Ionia Bonus: +25 Ability Power. Active: fire a burst of energy that explodes on impact, dealing magic damage to enemies adjacent to the target. Every third cast launches 3 bursts.",0.1,Passive,Game Start,If Ionia Active,Self,Cast,Self,—,—,4,—,—,—,—,Same to Aim Target,Buff,AP,25,—,—,Once,Permanent
,,,,,,,,,,,1,Active,On Cast,If 1st or 2nd Cast,Self,First hit Projectile,Current,default,default,4,1,—,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,,,,If 3rd Cast,,,Current + Left + Right,,,,3,,At Once,,—,—,—,—,—,—,—,—
,,,,,,,,,,,2,Active,On Projectile Hit,—,Step 1 Projectile,Circle AOE,Current,centred,Circle 1 hex,4,1,—,—,—,Enemies in area,Attack,Damage,200/300/470% AP,—,—,Once,—
Shen,4 Gold,Tank,AP,Ionia,,Bastion,Invoker,1,Ally-Shielding Burst Tank,"Ionia Bonus: +8% Damage Reduction. Active: shield self and the 2 lowest-Health allies for 4s. After ally's shield duration expire, Shen's Shield refreshes and burst, dealing magic damage to adjacent enemies.",0.1,Passive,Game Start,If Ionia Active,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Damage Reduction,8%,—,—,Once,Permanent
,,,,,,,,,,,1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Shield,350/450/2000% AP,—,—,Once,4
,,,,,,,,,,,,,,,,,Lowest-HP Allies,,,,,,,,Same to Aim Target,Buff,Shield,225/275/1500% AP,—,—,Once,4
,,,,,,,,,,,2,Active,After Step 1,—,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Same to Aim Target,Buff,Shield,(refresh),—,—,Once,4
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Attack,Damage,240/360/2500% AP,Burst,burst,Once,—
Yasuo,4 Gold,Assassin,AD,Ionia,,Challenger,,1,Whirlwind Dash Carry,"Ionia Bonus: +15% Omnivamp. Active: send a whirlwind at the furthest enemy within 3 hexes, knocking up and Stunning all enemies hit. Dash to and slash the original target for heavy physical damage, then slam it into the ground, damaging enemies within 1 hex.",0.1,Passive,Game Start,If Ionia Active,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Omnivamp,15%,—,—,Once,Permanent
,,,,,,,,,,,1,Active,On Cast,—,Self,Pierce Projectile,Farthest (within 3 hex),default,default,1,1,—,—,—,Enemies in path,Status,Stun,—,—,—,Once,—
,,,,,,,,,,,2,Active,After Step 1,—,Self,Move,Step 1 Aim target,—,—,1,—,—,—,—,Self,Movement,(reposition),—,—,—,—,—
,,,,,,,,,,,3,Active,After Step 2,—,Self,Cast,Step 1 Aim target,—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,500/500/1500% AD + 55/85/300% AP,—,—,Once,—
,,,,,,,,,,,4,Active,After Step 3,—,Self,Circle AOE,Step 1 Aim target,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,300/300/750% AD,—,—,Once,—
Ahri,5 Gold,Mage,AP,Ionia,,Sorcerer,,4,Essence-Steal Spell Carry,"Ionia Bonus: +3 Mana per second. Active: steal essence from enemies around the current target, dealing magic damage and Mana Reaving them. Every third cast instead unleashes a wave that damages all enemies hit, dealing 33% more to enemies whose essence has been stolen.",0.1,Passive,Game Start,If Ionia Active,Self,Cast,Self,—,—,4,—,—,—,—,Same to Aim Target,Buff,Mana Regen,3 /s,—,—,Once,Permanent
,,,,,,,,,,,1,Active,On Cast,If 1st or 2nd Cast,Self,Circle AOE,Current,centred,unknown,4,1,—,—,—,Enemies in area,Attack,Damage,105/150/1000% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Debuff,Mana Reave,20%,—,—,Once,Until next cast
,,,,,,,,,,,,,,If 3rd Cast,,Pierce Projectile,Self,default,,,,360° radial,,,All enemies,Attack,Damage,260/390/1999% AP,Conditional Bonus,+33% if essence stolen,Once,—
Renekton,1 Gold,Tank,AP,Shurima,,Bruiser,,1,Healing AOE Bruiser,"Deal magic damage to adjacent enemies. Heal for the first enemy hit, and a further 30% Ability Power for every additional enemy caught in the same swing.",1,Active,On Cast,—,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,180/270/400% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Buff,Heal,220/270/320% AP,Per Target Hit,+30% AP per additional enemy hit,Once,—
Taliyah,2 Gold,Mage,AP,Shurima,,Multicaster,,4,Knock-up Punisher Mage,"Passive: whenever ANY enemy is knocked up or back - by anything, not just her - throw a boulder towards them; it damages the first enemy it hits. Active: damage the current target and knock them up, Stunning them for 2s.",0.1,Passive,On Enemy Knocked Up,—,Self,First hit Projectile,Knocked-up enemy,default,default,4,1,—,—,—,First hit enemy,Attack,Damage,120/180/270% AP,—,—,Once,—
,,,,,,,,,,,1,Active,On Cast,—,Self,Spawn At Target,Current,default,default,4,1,—,—,—,Same to Aim Target,Attack,Damage,220/330/495% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Stun,—,—,—,Once,2
Akshan,3 Gold,Marksman,AD,Shurima,,Deadeye,,4,Multi-shot Deadeye,Lock on to the farthest enemy and unleash a hail of 6 shots toward them. Each shot damages the first enemy it hits - which need not be the enemy locked on to.,1,Active,On Cast,—,Self,First hit Projectile,Farthest,default,default,4,6,—,Consecutive,—,First hit enemy,Attack,Damage,125% AD + 20/35/60% AP,—,—,Once,—
Azir,4 Gold,Marksman,AP,Shurima,,Strategist,,4,Sand Soldier Summoner,"Passive: every third attack, a Sand Soldier damages Azir's target. Active: summon a Sand Soldier to attack the current target; if Azir already has 3 Soldiers, they all strike at once instead.",0.1,Passive,On 3rd Attack,—,Summon,Auto-Attack (ranged),Current,default,default,4,1,—,—,—,Same to Aim Target,Attack,Damage,110/160/500% AP,—,—,Once,—
,,,,,,,,,,,1,Active,On Cast,If fewer than 3 Soldiers,Self,Static Summon,—,—,—,4,3,—,At Once,—,Same to Aim Target,Summon,(summon),—,Cap,max 3 Soldiers on the board,—,—
,,,,,,,,,,,,,,If Already 3 Soldiers,Summon,Auto-Attack (ranged),Current,default,default,,,,,,Same to Aim Target,Attack,Damage,70% AP,—,—,Once,—
Nasus,4 Gold,Tank,AD,Shurima,,Juggernaut,,1,Stat-Stealing Juggernaut,"Steal max Health, Attack Damage, Armor and Magic Resist from the nearest 4/5/7 enemies for 8s - each stat is deducted from them and added to him. While empowered, every third attack deals heavy physical damage.",1,Active,On Cast,—,Self,Cast,Nearest 4/5/7 enemies,—,—,1,—,—,—,—,Same to Aim Target,Debuff,Max HP,4/4/15%,—,—,Once,8
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Debuff,AD,8%,—,—,Once,8
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Debuff,DEF,4/4/20,—,—,Once,8
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Debuff,MR,4/4/20,—,—,Once,8
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Bonus HP,4/4/15%,Per Target Hit,from each enemy hit,Once,8
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,AD,8%,Per Target Hit,from each enemy hit,Once,8
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Armor,4/4/20,Per Target Hit,from each enemy hit,Once,8
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,MR,4/4/20,Per Target Hit,from each enemy hit,Once,8
,,,,,,,,,,,0.1,Passive,On 3rd Attack,If Empowered,Self,Bonus on AA,Current,—,—,1,1,—,—,—,Same to Aim Target,Attack,Damage,380/380/700% AD,—,—,Once,—
K'Sante,5 Gold,Tank,AP,Shurima,,Bastion,,1,Knockback Slam Tank,"Heal, then knock up the current target and smash them to the edge of the battlefield, damaging and Stunning them. Enemies the flying target collides with are also damaged and Stunned. If the target cannot be pushed further it is knocked off the battlefield; otherwise K'Sante chases it.",1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Heal,10% max HP,—,—,Once,—
,,,,,,,,,,,2,Active,After Step 1,—,Self,Knock Back,Current,—,—,1,1,—,—,—,Same to Aim Target,Attack,Damage,250/400/1000% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Stun,—,—,—,Once,2/2.5/10
,,,,,,,,,,,,,,,Knocked-back enemy,Charge,—,default,default,,,,,,Enemies in path,Attack,Damage,250/400/1000% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in path,Status,Stun,—,—,—,Once,1/1.25/5
,,,,,,,,,,,3,Active,After Step 2,If Target at Edge,Self,Cast,Step 2 Aim target,—,—,1,—,—,—,—,Same to Aim Target,Status,Knock Off,—,—,—,Once,—
,,,,,,,,,,,,,,If Target Not at Edge,,Move,,,,,,,,,Self,Movement,(reposition),—,—,—,—,—
Ashe,2 Gold,Marksman,AD,Freljord,,Deadeye,,6,Cone Chill Archer,Fire 8 arrows in a cone. Each arrow damages the first enemy it hits and Chills it (-30% Attack Speed) for 2s.,1,Active,On Cast,—,Self,First hit Projectile,Current,default,default,6,8,Cone,At Once,—,First hit enemy,Attack,Damage,160/165/175% AD,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,First hit enemy,Status,Chill,—,—,—,Once,2
Lissandra,3 Gold,Mage,AP,Freljord,,Invoker,,2,Stun & Amplify Mage,"Stun the current target, damage everything within 2 hexes of it, and leave those enemies taking 10% more damage for 4s.",1,Active,On Cast,—,Self,Circle AOE,Current,centred,Circle 2 hex,2,1,—,—,—,Same to Aim Target,Status,Stun,—,—,—,Once,2
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Attack,Damage,160/240/400% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Debuff,Damage Amplification,10%,—,—,Once,4
Sejuani,4 Gold,Tank,AP,Freljord,,Bruiser,,1,Chill Enabler Tank,"Passive: whenever an ALLY attacks a Chilled enemy, that ally's attack deals bonus true damage. Active: shield self, then damage and Chill nearby enemies.",0.1,Passive,On Ally Attack,If Target Chilled,Ally,Bonus on AA,Current,—,—,1,1,—,—,—,Same to Aim Target,Attack,True Damage,160/240/1200,Derived,increased by max Health,Once,—
,,,,,,,,,,,1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Shield,600/700/2000% AP,—,—,Once,4
,,,,,,,,,,,2,Active,After Step 1,—,Self,Circle AOE,Self,centred,Circle 2 hex,1,1,—,—,—,Enemies in area,Attack,Damage,160/240/1200% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Chill,—,—,—,Once,4
Orianna,1 Gold,Mage,AP,Piltover,,Sorcerer,,4,Shield & Empower Support,"Shield the lowest-Health ally for 4s, and empower Orianna's NEXT attack to deal bonus magic damage.",1,Active,On Cast,—,Self,Cast,Lowest-HP Ally,—,—,4,—,—,—,—,Same to Aim Target,Buff,Shield,200/225/275% AP,—,—,Once,4
,,,,,,,,,,,,,,,,,Self,,,,,,,,Same to Aim Target,Buff,Empowered Attack,290/435/650% AP,—,—,Once,—
Vi,2 Gold,Tank,AD,Piltover,,Bruiser,,1,Shield & Sunder Bruiser,"Shield self for 4s, then damage enemies within 1 hex of the current target and Sunder them (-20% Armor) for 4s.",1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Shield,350/400/450% AP,—,—,Once,4
,,,,,,,,,,,2,Active,After Step 1,—,Self,Circle AOE,Current,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,300% AD,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Debuff,DEF,20%,—,—,Once,4
Ekko,3 Gold,Assassin,AP,Zaun,Piltover,Rogue,,1,Retroactive-Heal Assassin,"Heal for 20% of the damage he took in the last 4s, then strike the current target for magic damage.",1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Heal,20% of damage taken in last 4s,—,—,Once,—
,,,,,,,,,,,2,Active,After Step 1,—,Self,Cast,Current,—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,255/380/570% AP,—,—,Once,—
Jayce,3 Gold,Marksman,AD,Piltover,,Gunner,,4,Flank-Buff Gunner,"Grant himself Attack Speed and his left and right neighbours Ability Power for 3s, then fire a blast that detonates on the first enemy hit, damaging everyone near the blast.",1,Active,On Cast,—,Self,Cast,Self,—,—,4,—,—,—,—,Same to Aim Target,Buff,Attack Speed,30/40/50% AP,—,—,Once,3
,,,,,,,,,,,,,,,,,,,,,,,,,Adjacent allies (left & right),Buff,AP,15%,—,—,Once,3
,,,,,,,,,,,2,Active,After Step 1,—,Self,First hit Projectile,Current,default,default,4,1,—,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,3,Active,On Projectile Hit,—,Step 2 Projectile,Circle AOE,Current,centred,Circle 1 hex,4,1,—,—,—,Enemies in area,Attack,Damage,275/275/295% AD,—,—,Once,—
Viego,1 Gold,Assassin,AP,Shadow Isles,,Rogue,,1,Stacking Melee Assassin,"Deal 110/165/250% Ability Power magic damage to the current target. For the rest of combat, Viego's attacks deal 20/30/45% Ability Power bonus stacking magic damage.",1,Active,On Cast,—,Self,Laser Shot,Current,default,unknown,1,1,—,—,—,Enemies in path,Attack,Damage,110/165/250% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,Self,,,,—,,,,Enemies in path,Buff,On-Hit Damage,20/30/45% AP,Stacking,stacking,Once,Permanent
Maokai,1 Gold,Tank,AP,Shadow Isles,,Bastion,,1,Mana-Leeching Healing Tank,"Sap Magic: Passive: Whenever an enemy casts an Ability, gain 5 Mana. Active: On his next attack, heal for 220/260/300% Ability Power.",0.1,Passive,On Enemy Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Mana,5,—,—,Once,—
,,,,,,,,,,,1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Empowered Attack (Maokai),220/260/300% AP,—,—,Once,—
Kalista,3 Gold,Marksman,AP,Shadow Isles,,Challenger,,4,Spear-Stacking Executioner,"Passive: Attacks impale a spear in the target, which deals 18/27/45% Ability Power true damage when removed. Kalista rips the spears out if it would kill the target. Active: Impale 6 spears in the current target.",0.1,Passive,On Attack,—,Self,Bonus on AA,Current,—,—,4,1,—,—,—,Same to Aim Target,Status,Impale,—,Stacking,stacking,Once,Permanent
,,,,,,,,,,,0.2,Passive,On Attack,If skill can execute,Self,Cast,Current,—,—,4,—,—,—,—,Same to Aim Target,Attack,True Damage,18/27/45% AP,Per Stack,per spear removed,Once,—
,,,,,,,,,,,1,Active,On Cast,—,Self,Homing Projectile,Current,default,default,4,1,—,—,—,Same to Aim Target,Status,Impale,6 spears,—,—,Once,—
